Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
11/06/2021,36047,44,Kings County,NY,60.3,1544451,1544308,71.7,1449612,73.2,262050,71.2,97.6,1747434,68.3,1747114,81.1,1636968,82.7,291298,79.2,D,16,16,16,16,Metro,4,4,4,4
11/06/2021,36005,44,Bronx County,NY,61.7,875425,875346,74.1,805975,75.4,150489,79.7,97.6,1004572,70.8,1004404,85.0,921970,86.2,166346,88.1,D,16,16,16,16,Metro,4,4,4,4
11/06/2021,36081,44,Queens County,NY,74.4,1677099,1677018,86.3,1564129,86.8,298637,81.1,97.6,1882629,83.5,1882446,96.9,1754530,97.3,334901,90.9,C,12,12,12,12,Metro,4,4,4,4
11/05/2021,36047,44,Kings County,NY,60.2,1542113,1541972,71.6,1447471,73.1,261850,71.2,97.6,1745173,68.2,1744880,81.0,1634877,82.6,291020,79.1,D,16,16,16,16,Metro,4,4,4,4
11/05/2021,36085,44,Richmond County,NY,63.5,302539,302507,74,282587,75.9,66209,83.5,97.6,335121,70.4,335077,81.9,312294,83.8,72084,90.9,B,8,8,8,8,Metro,4,4,4,4
11/05/2021,36081,44,Queens County,NY,74.3,1675503,1675422,86.2,1562660,86.7,298452,81,97.6,1880781,83.4,1880604,96.8,1752796,97.2,334518,90.8,C,12,12,12,12,Metro,4,4,4,4
11/05/2021,36061,44,New York County,NY,74.3,1209424,1209306,82.6,1153736,82.6,224374,81.3,97.6,1401993,86.1,1401629,95.7,1328514,95.1,256134,92.8,C,12,12,12,12,Metro,4,4,4,4
11/05/2021,36005,44,Bronx County,NY,61.6,873629,873550,74,804409,75.2,150345,79.6,97.6,1002809,70.7,1002656,84.9,920413,86.1,166089,88,D,16,16,16,16,Metro,4,4,4,4
11/04/2021,36061,44,New York County,NY,74.2,1208400,1208284,82.5,1152783,82.6,224241,81.2,97.6,1400301,86,1400072,95.6,1327032,95,255886,92.7,C,12,12,12,12,Metro,4,4,4,4
11/04/2021,36047,44,Kings County,NY,60.2,1539794,1539653,71.5,1445316,73,261628,71.1,97.6,1742948,68.1,1742667,80.9,1632814,82.5,290758,79,D,16,16,16,16,Metro,4,4,4,4
11/04/2021,36005,44,Bronx County,NY,61.5,872112,872034,73.8,803047,75.1,150228,79.6,97.6,1001242,70.6,1001098,84.8,919010,85.9,165855,87.9,D,16,16,16,16,Metro,4,4,4,4
11/04/2021,36081,44,Queens County,NY,74.3,1673878,1673798,86.1,1561166,86.6,298262,81,97.6,1878964,83.4,1878794,96.7,1751091,97.2,334089,90.7,C,12,12,12,12,Metro,4,4,4,4
11/04/2021,36085,44,Richmond County,NY,63.5,302202,302170,73.9,282282,75.8,66174,83.4,97.6,334794,70.3,334750,81.8,311985,83.8,72022,90.8,B,8,8,8,8,Metro,4,4,4,4
11/03/2021,36047,44,Kings County,NY,60.1,1537378,1537244,71.4,1443084,72.9,261420,71.1,97.6,1740644,68,1740373,80.8,1630653,82.4,290516,79,D,16,16,16,16,Metro,4,4,4,4
11/03/2021,36005,44,Bronx County,NY,61.4,870485,870407,73.7,801592,74.9,150123,79.5,97.6,999661,70.5,999518,84.6,917579,85.8,165596,87.7,D,16,16,16,16,Metro,4,4,4,4
11/03/2021,36061,44,New York County,NY,74.1,1207288,1207174,82.4,1151765,82.5,224126,81.2,97.6,1398463,85.9,1398260,95.5,1325324,94.9,255622,92.6,C,12,12,12,12,Metro,4,4,4,4
11/03/2021,36085,44,Richmond County,NY,63.4,301858,301828,73.8,281962,75.7,66147,83.4,97.6,334491,70.3,334449,81.8,311697,83.7,71967,90.8,B,8,8,8,8,Metro,4,4,4,4
11/03/2021,36081,44,Queens County,NY,74.2,1671997,1671918,86,1559437,86.5,298050,80.9,97.6,1876987,83.3,1876821,96.6,1749216,97,333631,90.6,C,12,12,12,12,Metro,4,4,4,4
11/02/2021,36047,44,Kings County,NY,60,1535026,1534892,71.3,1440988,72.8,261218,71,97.6,1737881,67.9,1737610,80.7,1628102,82.3,290106,78.9,D,16,16,16,16,Metro,4,4,4,4
11/02/2021,36061,44,New York County,NY,74.1,1206190,1206076,82.4,1150774,82.4,224006,81.1,97.6,1396716,85.8,1396515,95.4,1323690,94.8,255362,92.5,C,12,12,12,12,Metro,4,4,4,4
11/02/2021,36085,44,Richmond County,NY,63.3,301434,301405,73.7,281604,75.6,66112,83.4,97.6,334134,70.2,334093,81.7,311372,83.6,71910,90.7,B,8,8,8,8,Metro,4,4,4,4
11/02/2021,36081,44,Queens County,NY,74.1,1670166,1670087,85.9,1557789,86.4,297858,80.9,97.6,1874782,83.2,1874617,96.5,1747159,96.9,333097,90.4,C,12,12,12,12,Metro,4,4,4,4
11/02/2021,36005,44,Bronx County,NY,61.3,868984,868908,73.6,800288,74.8,150027,79.5,97.6,998056,70.4,997914,84.5,916199,85.7,165410,87.6,D,16,16,16,16,Metro,4,4,4,4
11/01/2021,36085,44,Richmond County,NY,63.2,301132,301103,73.6,281330,75.5,66088,83.3,97.6,333820,70.1,333779,81.6,311071,83.5,71844,90.6,B,8,8,8,8,Metro,4,4,4,4
11/01/2021,36047,44,Kings County,NY,59.9,1533004,1532870,71.2,1439116,72.7,261038,71,97.6,1735811,67.8,1735540,80.6,1626162,82.2,289849,78.8,D,16,16,16,16,Metro,4,4,4,4
11/01/2021,36005,44,Bronx County,NY,61.2,867704,867628,73.5,799143,74.7,149954,79.4,97.6,996820,70.3,996679,84.4,915074,85.6,165279,87.6,D,16,16,16,16,Metro,4,4,4,4
11/01/2021,36081,44,Queens County,NY,74,1668914,1668835,85.9,1556655,86.4,297725,80.8,97.6,1873271,83.1,1873107,96.4,1745732,96.9,332784,90.3,C,12,12,12,12,Metro,4,4,4,4
11/01/2021,36061,44,New York County,NY,74,1205431,1205317,82.3,1150052,82.4,223916,81.1,97.6,1395332,85.7,1395131,95.3,1322381,94.7,255161,92.4,C,12,12,12,12,Metro,4,4,4,4
10/31/2021,36061,44,New York County,NY,74,1204871,1204757,82.3,1149530,82.3,223864,81.1,97.6,1394076,85.6,1393875,95.2,1321194,94.6,254970,92.3,C,12,12,12,12,Metro,4,4,4,4
10/31/2021,36085,44,Richmond County,NY,63.2,300835,300806,73.5,281082,75.5,66081,83.3,97.6,333530,70,333489,81.5,310801,83.4,71806,90.5,B,8,8,8,8,Metro,4,4,4,4
10/31/2021,36047,44,Kings County,NY,59.8,1531548,1531414,71.1,1437821,72.6,260942,70.9,97.6,1734422,67.8,1734151,80.5,1624896,82.1,289714,78.8,D,16,16,16,16,Metro,4,4,4,4
10/31/2021,36005,44,Bronx County,NY,61.1,867055,866979,73.4,798604,74.7,149930,79.4,97.6,996156,70.2,996015,84.3,914472,85.5,165205,87.5,D,16,16,16,16,Metro,4,4,4,4
10/31/2021,36081,44,Queens County,NY,74,1667511,1667432,85.8,1555434,86.3,297625,80.8,97.6,1871820,83,1871657,96.3,1744409,96.8,332510,90.3,C,12,12,12,12,Metro,4,4,4,4
10/30/2021,36085,43,Richmond County,NY,63.1,300246,300217,73.4,280552,75.3,66048,83.3,97.6,332900,69.9,332859,81.4,310217,83.3,71752,90.5,B,8,8,8,8,Metro,4,4,4,4
10/30/2021,36005,43,Bronx County,NY,61,865257,865181,73.3,797096,74.5,149838,79.4,97.6,994260,70.1,994119,84.2,912795,85.3,165012,87.4,D,16,16,16,16,Metro,4,4,4,4
10/30/2021,36061,43,New York County,NY,73.9,1203505,1203391,82.2,1148306,82.2,223756,81,97.6,1391635,85.4,1391435,95.0,1318919,94.4,254610,92.2,C,12,12,12,12,Metro,4,4,4,4
10/30/2021,36047,43,Kings County,NY,59.7,1528471,1528338,71,1435121,72.5,260740,70.9,97.6,1731392,67.6,1731122,80.4,1622102,82,289409,78.7,D,16,16,16,16,Metro,4,4,4,4
10/30/2021,36081,43,Queens County,NY,73.9,1664969,1664891,85.7,1553240,86.2,297444,80.8,97.6,1869107,82.9,1868944,96.2,1741941,96.6,332076,90.2,C,12,12,12,12,Metro,4,4,4,4
10/29/2021,36085,43,Richmond County,NY,62.9,299721,299692,73.3,280060,75.2,66014,83.2,97.6,332000,69.7,331959,81.2,309353,83.1,71685,90.4,B,8,8,8,8,Metro,4,4,4,4
10/29/2021,36047,43,Kings County,NY,59.6,1525336,1525203,70.8,1432241,72.4,260490,70.8,97.6,1727155,67.5,1726885,80.2,1618089,81.8,289095,78.6,D,16,16,16,16,Metro,4,4,4,4
10/29/2021,36061,43,New York County,NY,73.8,1202008,1201895,82.1,1146932,82.1,223612,81,97.6,1389133,85.3,1388933,94.9,1316527,94.3,254247,92.1,C,12,12,12,12,Metro,4,4,4,4
10/29/2021,36005,43,Bronx County,NY,60.9,863093,863017,73.1,795187,74.3,149682,79.3,97.6,991324,69.9,991184,83.9,910040,85.1,164742,87.3,D,16,16,16,16,Metro,4,4,4,4
10/29/2021,36081,43,Queens County,NY,73.8,1662688,1662612,85.6,1551140,86.1,297228,80.7,97.6,1865974,82.8,1865813,96.0,1738962,96.5,331600,90,C,12,12,12,12,Metro,4,4,4,4
10/28/2021,36047,43,Kings County,NY,59.5,1521960,1521828,70.7,1429114,72.2,260214,70.7,97.6,1723156,67.3,1722886,80.0,1614322,81.6,288760,78.5,D,16,16,16,16,Metro,4,4,4,4
10/28/2021,36081,43,Queens County,NY,73.7,1660434,1660359,85.4,1549051,85.9,297015,80.6,97.6,1863091,82.7,1862931,95.9,1736198,96.3,331106,89.9,C,12,12,12,12,Metro,4,4,4,4
10/28/2021,36005,43,Bronx County,NY,60.7,860925,860849,72.9,793250,74.2,149534,79.2,97.6,988463,69.7,988323,83.7,907395,84.8,164364,87.1,D,16,16,16,16,Metro,4,4,4,4
10/28/2021,36085,43,Richmond County,NY,62.8,299096,299067,73.1,279478,75,65981,83.2,97.6,331133,69.5,331092,81.0,308516,82.8,71616,90.3,B,8,8,8,8,Metro,4,4,4,4
10/28/2021,36061,43,New York County,NY,73.7,1200541,1200428,82,1145549,82,223474,80.9,97.6,1386800,85.1,1386600,94.7,1314323,94.1,253866,91.9,C,12,12,12,12,Metro,4,4,4,4
10/27/2021,36085,43,Richmond County,NY,62.7,298398,298369,73,278841,74.9,65947,83.2,97.6,330209,69.4,330168,80.7,307639,82.6,71511,90.2,B,8,8,8,8,Metro,4,4,4,4
10/27/2021,36061,43,New York County,NY,73.6,1199167,1199054,81.9,1144273,81.9,223338,80.9,97.6,1384320,85,1384122,94.5,1311950,94,253464,91.8,C,12,12,12,12,Metro,4,4,4,4
10/27/2021,36081,43,Queens County,NY,73.6,1658084,1658009,85.3,1546888,85.8,296816,80.6,97.6,1860178,82.5,1860021,95.7,1733443,96.2,330593,89.8,C,12,12,12,12,Metro,4,4,4,4
10/27/2021,36005,43,Bronx County,NY,60.5,858712,858636,72.7,791265,74,149413,79.2,97.6,985931,69.5,985791,83.5,905039,84.6,164126,86.9,D,16,16,16,16,Metro,4,4,4,4
10/27/2021,36047,43,Kings County,NY,59.3,1518657,1518526,70.5,1426017,72,259948,70.7,97.6,1719250,67.2,1718981,79.8,1610645,81.4,288413,78.4,D,16,16,16,16,Metro,4,4,4,4
10/26/2021,36061,43,New York County,NY,73.5,1197858,1197745,81.8,1143057,81.9,223186,80.8,97.6,1381675,84.8,1381478,94.3,1309488,93.8,253088,91.7,C,12,12,12,12,Metro,4,4,4,4
10/26/2021,36081,43,Queens County,NY,73.5,1656184,1656109,85.2,1545153,85.7,296640,80.5,97.6,1857337,82.4,1857180,95.6,1730801,96,330153,89.6,C,12,12,12,12,Metro,4,4,4,4
10/26/2021,36047,43,Kings County,NY,59.2,1515975,1515844,70.4,1423527,71.9,259753,70.6,97.6,1715275,67,1715008,79.6,1607000,81.2,288054,78.3,D,16,16,16,16,Metro,4,4,4,4
10/26/2021,36085,43,Richmond County,NY,62.6,297868,297839,72.8,278358,74.7,65915,83.1,97.6,329471,69.2,329430,80.5,306961,82.4,71447,90.1,B,8,8,8,8,Metro,4,4,4,4
